date,commodity,price
2024-01-02,BAWANG BOMBAY,30000.0
2024-01-02,BAWANG MERAH Lokal,43333.0
2024-01-02,BAWANG PUTIH HONAN,42000.0
2024-01-02,BERAS MEDIUM Matahari,14000.0
2024-01-02,BERAS MEDIUM Sendok,14000.0
2024-01-02,BERAS PREMIUM 118/AAA,14833.0
2024-01-02,BERAS PREMIUM RM,14833.0
2024-01-02,CABE MERAH Besar,62667.0
2024-01-02,CABE MERAH Keriting,62667.0
2024-01-02,CABE RAWIT Hijau,51667.0
2024-01-02,CABE RAWIT Merah,78333.0
2024-01-02,DAGING Daging Ayam Broiler (Bersih),35000.0
2024-01-02,DAGING Daging Sapi Paha Belakang,133333.0
2024-01-02,DAGING Daging Sapi Paha Depan,133333.0
2024-01-02,DAGING Daging Sapi Sandung Lamur,121667.0
2024-01-02,DAGING Daging Sapi Tetelan,80000.0
2024-01-02,GARAM BERYODIUM Halus,8167.0
2024-01-02,GULA PASIR CURAH Curah,16333.0
2024-01-02,GULA PASIR CURAH PSM,18500.0
2024-01-02,IKAN ASIN TERI,80000.0
2024-01-02,IKAN SEGAR Kembung,32500.0
2024-01-02,IKAN SEGAR Tongkol,22500.0
2024-01-02,JERUK LOKAL,19333.0
2024-01-02,KACANG KEDELAI Impor,15167.0
2024-01-02,KACANG-KACANGAN Kacang Hijau,24667.0
2024-01-02,KACANG-KACANGAN Kacang Tanah,2833.0
2024-01-02,KETELA POHON,3000.0
2024-01-02,MIE INSTANT Indomie rasa kari ayam,3167.0
2024-01-02,MINYAK GORENG Fortune,16000.0
2024-01-02,MINYAK GORENG Minyak Kita,14000.0
2024-01-02,PISANG AMBON,9333.0
2024-01-02,SUSU BUBUK Dancow Vanila,54667.0
2024-01-02,SUSU BUBUK SGM Vanila,43500.0
2024-01-02,SUSU KENTAL MANIS Merk Frisian Flag Vanila,17333.0
2024-01-02,TAHU PUTIH,16000.0
2024-01-02,TELUR  Telur Ayam Broiler/Ras,29867.0
2024-01-02,TELUR  Telur Ayam Kampung,70000.0
2024-01-02,TEMPE,12500.0
2024-01-02,TEPUNG TERIGU Segi Tiga Biru (kw Medium),12833.0
2024-01-02,UDANG BASAH UK. SEDANG,68333.0
2024-01-03,BAWANG BOMBAY,32333.0
2024-01-03,BAWANG MERAH Lokal,43000.0
2024-01-03,BAWANG PUTIH HONAN,40667.0
2024-01-03,BERAS MEDIUM Matahari,14000.0
2024-01-03,BERAS MEDIUM Sendok,14000.0
2024-01-03,BERAS PREMIUM 118/AAA,14833.0
2024-01-03,BERAS PREMIUM RM,14833.0
2024-01-03,CABE MERAH Besar,71333.0
2024-01-03,CABE MERAH Keriting,71333.0
2024-01-03,CABE RAWIT Hijau,60000.0
2024-01-03,CABE RAWIT Merah,81250.0
2024-01-03,DAGING Daging Ayam Broiler (Bersih),33667.0
2024-01-03,DAGING Daging Sapi Paha Belakang,133750.0
2024-01-03,DAGING Daging Sapi Paha Depan,133750.0
2024-01-03,DAGING Daging Sapi Sandung Lamur,118750.0
2024-01-03,DAGING Daging Sapi Tetelan,81667.0
2024-01-03,GARAM BERYODIUM Halus,10000.0
2024-01-03,GULA PASIR CURAH Curah,16333.0
2024-01-03,GULA PASIR CURAH PSM,17000.0
2024-01-03,IKAN ASIN TERI,76667.0
2024-01-03,IKAN SEGAR Kembung,35000.0
2024-01-03,IKAN SEGAR Tongkol,30000.0
2024-01-03,JERUK LOKAL,21500.0
2024-01-03,KACANG KEDELAI Impor,15167.0
2024-01-03,KACANG-KACANGAN Kacang Hijau,22750.0
2024-01-03,KACANG-KACANGAN Kacang Tanah,27750.0
2024-01-03,KETELA POHON,3667.0
2024-01-03,MIE INSTANT Indomie rasa kari ayam,3250.0
2024-01-03,MINYAK GORENG Fortune,15500.0
2024-01-03,MINYAK GORENG Minyak Kita,14000.0
2024-01-03,PISANG AMBON,9000.0
2024-01-03,SUSU BUBUK Dancow Vanila,54667.0
2024-01-03,SUSU BUBUK SGM Vanila,43333.0
2024-01-03,SUSU KENTAL MANIS Merk Frisian Flag Vanila,17667.0
2024-01-03,TAHU PUTIH,11000.0
2024-01-03,TELUR  Telur Ayam Broiler/Ras,29333.0
2024-01-03,TELUR  Telur Ayam Kampung,70000.0
2024-01-03,TEMPE,13333.0
2024-01-03,TEPUNG TERIGU Segi Tiga Biru (kw Medium),12750.0
2024-01-03,UDANG BASAH UK. SEDANG,65000.0
2024-01-04,BAWANG BOMBAY,30667.0
2024-01-04,BAWANG MERAH Lokal,42333.0
2024-01-04,BAWANG PUTIH HONAN,41333.0
2024-01-04,BERAS MEDIUM Matahari,14000.0
2024-01-04,BERAS MEDIUM Sendok,14000.0
2024-01-04,BERAS PREMIUM 118/AAA,15000.0
2024-01-04,BERAS PREMIUM RM,14767.0
2024-01-04,CABE MERAH Besar,76667.0
2024-01-04,CABE MERAH Keriting,76667.0
2024-01-04,CABE RAWIT Hijau,59667.0
2024-01-04,CABE RAWIT Merah,79333.0
2024-01-04,DAGING Daging Ayam Broiler (Bersih),32667.0
2024-01-04,DAGING Daging Sapi Paha Belakang,130000.0
2024-01-04,DAGING Daging Sapi Paha Depan,131667.0
2024-01-04,DAGING Daging Sapi Sandung Lamur,120000.0
2024-01-04,DAGING Daging Sapi Tetelan,76667.0
2024-01-04,GARAM BERYODIUM Halus,10000.0
2024-01-04,GULA PASIR CURAH Curah,16167.0
2024-01-04,GULA PASIR CURAH PSM,17000.0
2024-01-04,IKAN ASIN TERI,80000.0
2024-01-04,IKAN SEGAR Kembung,41667.0
2024-01-04,IKAN SEGAR Tongkol,23333.0
2024-01-04,JERUK LOKAL,20000.0
2024-01-04,KACANG KEDELAI Impor,15000.0
2024-01-04,KACANG-KACANGAN Kacang Hijau,24333.0
2024-01-04,KACANG-KACANGAN Kacang Tanah,27333.0
2024-01-04,KETELA POHON,3500.0
2024-01-04,MIE INSTANT Indomie rasa kari ayam,3167.0
2024-01-04,MINYAK GORENG Fortune,15500.0
2024-01-04,MINYAK GORENG Minyak Kita,14000.0
2024-01-04,PISANG AMBON,10000.0
2024-01-04,SUSU BUBUK Dancow Vanila,54667.0
2024-01-04,SUSU BUBUK SGM Vanila,43667.0
2024-01-04,SUSU KENTAL MANIS Merk Frisian Flag Vanila,13000.0
2024-01-04,TAHU PUTIH,16000.0
2024-01-04,TELUR  Telur Ayam Broiler/Ras,29333.0
2024-01-04,TELUR  Telur Ayam Kampung,70000.0
2024-01-04,TEMPE,12500.0
2024-01-04,TEPUNG TERIGU Segi Tiga Biru (kw Medium),12833.0
2024-01-04,UDANG BASAH UK. SEDANG,66667.0
2024-01-05,BAWANG BOMBAY,30667.0
2024-01-05,BAWANG MERAH Lokal,43333.0
2024-01-05,BAWANG PUTIH HONAN,43000.0
2024-01-05,BERAS MEDIUM Matahari,14000.0
2024-01-05,BERAS MEDIUM Sendok,14000.0
2024-01-05,BERAS PREMIUM 118/AAA,15000.0
2024-01-05,BERAS PREMIUM RM,14833.0
2024-01-05,CABE MERAH Besar,70667.0
2024-01-05,CABE MERAH Keriting,70667.0
2024-01-05,CABE RAWIT Hijau,55667.0
2024-01-05,CABE RAWIT Merah,82667.0
2024-01-05,DAGING Daging Ayam Broiler (Bersih),33000.0
2024-01-05,DAGING Daging Sapi Paha Belakang,131667.0
2024-01-05,DAGING Daging Sapi Paha Depan,131667.0
2024-01-05,DAGING Daging Sapi Sandung Lamur,120000.0
2024-01-05,DAGING Daging Sapi Tetelan,81667.0
2024-01-05,GARAM BERYODIUM Halus,10000.0
2024-01-05,GULA PASIR CURAH Curah,16167.0
2024-01-05,GULA PASIR CURAH PSM,17000.0
